Certification Name ,FILTER TYPE,LOGO LINK ,Website,Description,certifies_company,certfies_product,certifies_process,CERTIFIER,INDUSTRY ,AUDITED,AUDITED_BY,MEMBERSHIP_NETWORK,RATING_SYSTEM,CERTIFICATION,NOTES
The Vegan Society Trademark,Animal Welfare,https://www.vegansociety.com/sites/default/themes/the_vegan_society/logo.png,https://www.vegansociety.com/the-vegan-trademark,,,,,,Beauty,,,NO,NO,YES,
EWG VERIFIED,Chemical and Toxin-free,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285553/EWGVerified.jpg,Environmental Working Group: https://www.ewg.org/,"EWG Verified products cannot contain any ingredients on EWG’s “Unacceptable” list, which includes ingredients with health, ecotoxicity and/or contamination concerns. These products must also meet EWG’s standards for ingredient disclosure on the label; products with the VERIFIED mark are made by manufacturers that have been fully transparent with EWG about that product’s ingredients, including fragrance ingredients.",FALSE,TRUE,TRUE,Environmental Working Group,Beauty,,,NO,YES,NO,
EWG VERIFIED™ for Cleaning Products,Chemical and Toxin-free,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285553/EWGVerified.jpg,Environmental Working Group: https://www.ewg.org/,"Must not include ingredients with significant health concerns (e.g., carcinogens, endocrine disruptors).
Must provide full ingredient transparency, including all fragrance components.",FALSE,TRUE,,Environmental Working Group,Cleaning Products,,,,,,
EWG VERIFIED™ for Sunscreens,Chemical and Toxin-free,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285553/EWGVerified.jpg,Environmental Working Group: https://www.ewg.org/,"Must avoid ingredients that EWG considers to be harmful or irritating to the skin.
Must provide adequate sun protection based on EWG’s analysis of SPF and active ingredients.",FALSE,TRUE,,Environmental Working Group,Beauty,,,,,,
EWG VERIFIED™ for Food,Chemical and Toxin-free,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285553/EWGVerified.jpg,Environmental Working Group: https://www.ewg.org/,"What It Is: Though EWG does not commonly provide a ""VERIFIED"" mark for food products, they do assess food and agricultural products for safety through their EWG Food Scores and pesticide analyses (like the Dirty Dozen list). The VERIFIED mark might apply if specific food products meet EWG’s health and safety criteria.
Criteria:

    Products must avoid harmful additives, excessive processing, and high levels of pesticides or contaminants.

Applies To: Food products (Note: This is less common and typically not a separate certification but related to EWG’s overall evaluations).",FALSE,TRUE,TRUE,Environmental Working Group,Food,,,,,,
EWG VERIFIED™ for Baby Products,Chemical and Toxin-free,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285553/EWGVerified.jpg,Environmental Working Group: https://www.ewg.org/,"Must be free of harmful chemicals and contaminants.
Must disclose all ingredients and avoid known allergens and irritants.",FALSE,TRUE,,Environmental Working Group,Beauty,,,,,,
EWG VERIFIED™ for Cosmetics,Chemical and Toxin-free,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285553/EWGVerified.jpg,Environmental Working Group: https://www.ewg.org/,"Must not contain any ingredients that are on EWG’s restricted list, which includes carcinogens, endocrine disruptors, and other harmful substances.
Must fully disclose all ingredients, including those used in fragrances.",FALSE,TRUE,,Environmental Working Group,Beauty,,,,,,
NSF /ANSI 305,Chemical and Toxin-free,,NSF International: https://www.nsf.org/,NSF/ANSI 305: certifies that personal care products contain at least 70% organic ingredients,FALSE,TRUE,TRUE,NSF International,Beauty and personal care,,,NO,NO,YES,
NSF International,Chemical and Toxin-free,,,NSF International: certifies that products meet certain health and safety standards,FALSE,TRUE,TRUE,NSF International,"Food and beverage, water treatment, consumer products",,,NO,NO,YES,"Originally called the National Sanitation Foundation, NSF is a third-party certification that ensures human and environmental safety across several different industries.

What gets certified? Everything from drinking water and water filters, commercial foodservice equipment, nutritional supplements, private label goods, personal care items, home appliances, and clothing. Patagonia, for example, uses NSF’s Global Traceable Down Standard in their winter coats in order to ensure humane animal treatment. You can browse NSF’s directory of consumer resources here."
COSMOS Standard,Chemical and Toxin-free,https://static.cosmos-standard.org/img/cosmos_white_logo.85eda4e4387c.svg,https://www.cosmos-standard.org/en/,,,,,,Beauty,,,NO,NO,YES,
ECO,Chemical and Toxin-free,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285566/ECOLOGO.jpg,https://www.ul.com/resources/ecologo-certification-program, Certified products meet standards that can reduce the environmental impact of one or more stages of the product lifecycle.,FALSE,TRUE,,,,,,,,,
Ecocert,Chemical and Toxin-free,,,,,,,,Beauty,,,NO,NO,YES,
EPA Safer Choice,Chemical and Toxin-free,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285551/EPASaferChoice.jpg,https://www.epa.gov/saferchoice,U.S. EPA Safer Choice certified products contain safer ingredients for human health and the environment.,FALSE,TRUE,,,,,,,,,
Safe Cosmetics Alliance (SCA),Chemical and Toxin-free,,https://www.safecosmeticsaustralia.com.au/,"The SCA Verified™ certification has been managed by Safe Cosmetics Australia, an independent research provider for the Australian cosmetics industry, since 2010. Safe Cosmetics Australia's aim is to improve human health by advocating for a toxic-free future. ",,,,,Beauty,,,YES,NO,NO,
Think Dirty,Chemical and Toxin-free,https://www.thinkdirtyapp.com/wp-content/uploads/2023/08/TD_Logo_GIF_11YearAnniversary_Confetti_V1.gif,https://www.thinkdirtyapp.com/verified-brands/,,,,,,Beauty,,,NO,YES,NO,
Disability-Owned Business Enterprise (DOBE) Certification,Company Filter,https://disabstag.wpengine.com/wp-content/uploads/2022/03/DOBE-Certification-Branding_V-DOBE-Logo-300x300.png,https://disabilityin.org/what-we-do/supplier-diversity/get-certified/,"A business which is 51 percent owned, controlled, operated, and managed by a person(s) with a disability.",TRUE,FALSE,FALSE,,Beauty,,,NO,NO,YES,
Veteran Disability-Owned Business Enterprises (V-DOBE®):,Company Filter,https://disabstag.wpengine.com/wp-content/uploads/2022/03/DOBE-Certification-Branding_SDV-DOBE-Logo-300x300.png,https://disabilityin.org/what-we-do/supplier-diversity/get-certified/,"A business which is 51 percent owned, controlled, operated, and managed by a veteran, but disability was not incurred during their time of service.",TRUE,FALSE,FALSE,,,,,,,,
Service-Disabled Veteran Disability-Owned Business Enterprises (SDV-DOBE®):,Company Filter,,https://disabilityin.org/what-we-do/supplier-diversity/get-certified/,"A business which is 51 percent owned, controlled, operated, and managed by a veteran, who sustained their disability during their time of service.",TRUE,FALSE,FALSE,,,,,,,,
Made in the USA,Country Of Origin,,,This is a designation that indicates that a company's products have been manufactured in the United States.,FALSE,TRUE,TRUE,No specific certifying body,"Manufacturing,Various industries",,,,,,
USDA Organic,Ingredients Filter,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285556/USDAOrganic.jpg,https://www.usda.gov/topics/organic,"USDA Organic products are grown and processed according to standards addressing soil and water quality, among other factors.",FALSE,TRUE,,,,,,,,,
Ethical Clothing Australia (ECA),Labor and Fair Trade,,https://ethicalclothingaustralia.org.au/,"workers are being paid appropriately, receiving all their legal minimum entitlements, and working in safe conditions throughout the entire supply chain.",TRUE,TRUE,FALSE,ECA,Apparel and textiles,,,,,,
Fair for Life,Labor and Fair Trade,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285559/FairforLife.jpg,https://www.fairforlife.org/,"1.Certifies for fair trade and more socially and environmentally responsible supply chains.
2.Fair For Life: Certifies products that meet fair trade and social responsibility standards",TRUE,TRUE,TRUE,IMO Fair For Life,Various industries,,,NO,NO,YES,
Fair Labor Association (FLA),Labor and Fair Trade,,https://www.fairlabor.org/,Fair Labor Association (FLA): certifies that companies meet certain labor standards,TRUE,FALSE,TRUE,FLA,Apparel and footwear,,,YES,NO,NO,"When companies or suppliers sign on to become FLA compliant, they begin a two or three year implementation process during which they work toward bringing their supply chains into compliance with the FLA Workplace Code of Conduct, which ensures safety and health for workers. At the end of the implementation period, FLA evaluates whether the company can be considered for accreditation."
Fair Trade Certified,Labor and Fair Trade,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285558/FairTradeCertified.jpg,https://www.fairtradecertified.org/,"1.This is a certification program that verifies that a company's products have been produced in a socially and environmentally responsible way, with fair wages and safe working conditions for workers.
2.Products are made according to standards that promote safety, sustainability, and empowerment in the workplace.",TRUE,TRUE,FALSE,Fair Trade USA,Various industries,,,NO,YES,NO,
Fair Trade Federation (FTF),Labor and Fair Trade,,,"Fair Trade Federation (FTF): Certifies fair trade organizations and companies that prioritize fair wages, safe working conditions, and sustainable production practices",TRUE,FALSE,TRUE, FTF,Various industries,,,,,,
Fair Trade USA,Labor and Fair Trade,, https://www.fairtradeamerica.org/,"Fair Trade USA: Certifies products that meet fair trade standards and support fair wages, safe working conditions, and sustainable production practices",FALSE,TRUE,TRUE,Fair Trade USA,Various industries,,,NO,NO,YES,"It’s a bit confusing because Fairtrade International and Fair Trade USA used to be the same entity; however, they separated when Fair Trade USA wanted to give large farms the opportunity to be certified as well. Fair Trade USA uses many of the same labor standards as Fair Trade International, while also including certain environmental standards like the prohibition of GMOs and toxic chemicals. "
Fair Wear Foundation (FWF),Labor and Fair Trade,,https://www.fairwear.org/,Fair Wear Foundation (FWF): certifies that companies meet certain labor standards in the garment industry,TRUE,FALSE,TRUE,FWF,Apparel and textiles,,,,,,
Fairtrade International,Labor and Fair Trade,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285560/FairtradeInternational.jpg, https://www.fairtrade.net/," Though the specifics of these standards vary by industry, they include factors like fair wages, safe working conditions, and supply chain transparency, all audited by FLOCERT. 
2.Products are produced in line with ethical and environmental standards, including supporting farmers to tackle climate change challenges.",FALSE,TRUE,TRUE,Fairtrade International,Various industries,,,NO,NO,YES,
FLOCERT,Labor and Fair Trade,,https://www.flocert.net/,FLOCERT: Certifies fair trade organizations and products that meet fair trade standards,FALSE,TRUE,TRUE,FLOCERT,Various industries,,,,,,
Good On You,Labor and Fair Trade,, https://goodonyou.eco/,"Good On You: rates fashion brands on their sustainability, labor practices, and animal welfare",FALSE,TRUE,FALSE,Good On You,Apparel and textiles,,,NO,YES,NO,"Good On You is a rating system. It helps you identify which fashion brands are the “least” and “most” ethical and sustainable based on things like transparency, fair working conditions, environmental production practices, and animal welfare. Each brand gets a rating from worst (“We Avoid”) to best (“Great”). In order for brands to display the “Good On You Rated” label, they must achieve a “Good” or “Great.”"
Labor and Fair Trade,Labor and Fair Trade,,,ECOCERT: certifies that products meet certain organic and environmental standards,FALSE,TRUE,TRUE,Fair Trade USA,"Beauty and personal care, agriculture, textiles",,,,,,
Nest,Labor and Fair Trade,, https://www.buildanest.org/,"While there are several great certifications that audit labor standards in factories (see above), there wasn’t one that ensured ethical working standards for all of the labor that’s done within homes (where some estimates say as much as 60% of production takes place, according to Nest). In fact, home-based artisan production is the second largest employer of women in developing economies, and this population has not been protected… until Nest came along. ",FALSE,TRUE,TRUE,Nest,"Home goods and furnishings, consumer electronic",,,,,,
SA8000 (Social Accountability International),Labor and Fair Trade,,https://sa-intl.org/sa8000-search/,"Standards are in line with the Universal Declaration of Human Rights and International Labour Organization (ILO) conventions and include things like child labor, forced labor, health and safety, discrimination, working hours, and more",FALSE,FALSE,FALSE,Social Accountability International (SAI),,,,NO,NO,YES,
Safe and Fair Labor,Labor and Fair Trade,https://www.fairlabor.org/wp-content/themes/fla/img/fla-anniversary-logo.png,https://www.fairlabor.org/,This is a designation that verifies that a company's products have been produced with safe and fair labor practices.,FALSE,TRUE,TRUE,Fair Trade USA,"Manufacturing, agriculture, construction",,,,,,
World Fair Trade Organization (WTFO),Labor and Fair Trade,, https://wfto.com/,"World Fair Trade Organization (WTFO): Certifies fair trade organizations that prioritize fair wages, safe working conditions, and sustainable production practices",TRUE,FALSE,TRUE,WTFO,Various industries,,,,,,
Worldwide Responsible Accredited Production (WRAP),Labor and Fair Trade,, https://www.wrapcompliance.org/,Worldwide Responsible Accredited Production (WRAP): certifies that factories meet certain labor standards,TRUE,FALSE,TRUE, WRAP,Apparel and textiles,,,YES,NO,NO,
Fair Rubber,Labor and Fair Trade,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285560/FairRubber.jpg,https://fairrubber.org/,Products contain natural rubber that is certified as fairly traded according to social and environmental criteria.,FALSE,TRUE,,,,,,,,,
Personal Care Products Council (PCPC),Materials,,,,,,,,Beauty,,,YES,NO,NO,
Plant-Based Fiber Blended,Materials,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285555/Plant-BasedFiberBlended.jpg,https://www.amazon.com/b/?node=96704931011,Plant-Based Fiber Blended (Amazon developed) products are made with at least 50% plant-based content and produced in a way that restricts the use of harmful chemicals.,FALSE,TRUE,,,,,,,,,
Responsible Wool Standard,Materials,https://res.cloudinary.com/dwmpianpg/image/upload/v1707284629/ResponsibleWoolStandard.jpg,https://textileexchange.org/standards/responsible-wool/,Responsible Wool Standard wool is from farms that support animal welfare and responsible land management practices.,FALSE,TRUE,,,,,,,,,
Textile Exchange,Materials,https://textileexchange.org/app/uploads/2022/09/Primary-Logo-Black.svg,https://textileexchange.org/,,,,,,,,,YES,NO,NO,
US Cotton Trust Protocol,Materials,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285571/USCottonTrustProtocol.png,https://trustuscotton.org/,U.S. Cotton Trust Protocol promotes farmers’ use of environmentally and socially responsible practices in growing more sustainable cotton.,FALSE,TRUE,,,,,,,,,
“Contains organic (insert ingredient)” CLAIM NOT CERTIFIED,Organic,,,“Contains organic (insert ingredient)”: product label that signifies the product contains organic ingredients,FALSE,TRUE,FALSE,USDA,Food and beverage,,,,,,
Natural Products Association,Organic,,,Natural Products Association: certifies that products meet certain natural and environmental standards,FALSE,TRUE,TRUE, NPA,"Beauty and personal care, dietary supplements",,,,,,
Non GMO Project Verified,Organic,https://res.cloudinary.com/dxm6doeqd/image/upload/v1675104275/logos-certifications/zraeghzwfiqgsctumw2i.jpg,https://www.nongmoproject.org/,Non GMO: certifies that products do not contain genetically modified organisms,FALSE,TRUE,FALSE,Non-GMO Project,Food and beverage,,,NO,NO,YES,
Organic Content Standard (OCS),Organic,, https://www.ams.usda.gov/services/organic-certification/certifying-agents,Organic Content Standard (OCS): Certifies products that contain organic materials,FALSE,TRUE,TRUE, Textile Exchange,,,,,,,
Organic Standard Certification (OSC),Organic,,https://www.ams.usda.gov/services/organic-certification/certifying-agents,Organic Standard Certification (OSC): Certifies products that meet organic production standards,FALSE,TRUE,TRUE," NOFA-NY Certified Organic, LLC",,,,,,,
USDA Certified “Made with Organic”,Organic,, https://www.usda.gov/,USDA Certified “Made with Organic”: certifies that a product contains at least 70% organic ingredients,FALSE,TRUE,FALSE,USDA,Food and beverage,,,,,,
USDA Certified 100% Organic ,Organic,, https://www.usda.gov/,USDA Certified 100% Organic: certifies that a product contains only organic ingredients,FALSE,TRUE,FALSE, USDA,Food and beverage,,,,,,
USDA Certified Organic,Organic,, https://www.usda.gov/,USDA Certified Organic: certifies that a product contains at least 95% organic ingredients,FALSE,TRUE,FALSE, USDA,Food and beverage,,,,,,
USDA National Organic Program (NOP) Certification,Organic,,,"The Non-GMO Project is North America’s only independent verification for products made according to best practices for GMO avoidance. Ingredient compliance is vetted by FoodChain ID. While the USDA NOP Organic certification does not allow for GMOs, they also do not test for or certify to that standard. The Non-GMO Project does not assure that a product is organic.",FALSE,TRUE,TRUE,USDA,"Agriculture, food and beverage",,,NO,NO,YES,
Whole Foods Market Premium Body Care,Organic,,https://www.wholefoodsmarket.com/quality-standards/premium-body-care-standard,Whole Foods Market Premium Body Care: certifies that personal care products meet certain standards for ingredients and labeling,FALSE,TRUE,FALSE,Whole Foods Market,Beauty and personal care,,,,,,
EU Organic,Organic,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285553/EUOrganic.jpg,https://ec.europa.eu/info/food-farming-fisheries/farming/organic-farming/organic-logo_en,"Products have zero or minimal chemical pesticides or fertilizers, support animal welfare and non-genetically modified standards.",FALSE,TRUE,,,,,,,,,
Organic Blended Content Standard,Organic,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285554/OrganicBlendedContentStandardlogo.jpg,https://textileexchange.org/standards/organic-content-standard/,Organic Content Standard Blended products included in the program are made with at least 50% organically grown materials.,FALSE,TRUE,,,,,,,,,
Organic Content Standard 100,Organic,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285554/OrganicContentStandard100.jpg,https://textileexchange.org/standards/organic-content-standard/,Description: Organic Content Standard 100 products are made with at least 95% organically grown materials.,FALSE,TRUE,,,,,,,,,
Organic Trade Association (OTA),Organic,https://www.ota.com/sites/all/modules/conflux_bootstrap/conflux_images/ota_logo_wht.png,https://www.ota.com/,,,,,,,,,YES,NO,NO,
Made Safe ,Product Safety,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285549/MadeSafe.jpg,https://www.madesafe.org/,"MADE SAFE certifies products made without known toxic chemicals, by prohibiting substances that harm human health or the environment.",FALSE,TRUE,FALSE,MadeSafe,Various industries,,,NO,NO,YES,
Gluten-Free Certification Organization (GFCO),Special-Diet ,, https://gfco.org/,"While the FDA requires products to contain less than 20 ppm of gluten in order to be labeled “gluten-free,” the GFCO requires a stricter protocol; GFCO requires a product to contain less than 10 ppm in order to be “certified gluten-free” by its standards.",FALSE,TRUE,FALSE,GFCO,Food and beverage,,,,,,
"
Global Recycled Standard (GRS)",Sustainability and Environmental Impact,,,"""Global Recycled Standard (GRS)"": Certifies products that contain recycled materials",FALSE,TRUE,TRUE,,Textiles,,,,,,
1% For the Planet,Sustainability and Environmental Impact,, https://www.onepercentfortheplanet.org/,1% For the Planet: Certifies companies that donate at least 1% of their revenue to environmental causes,TRUE,FALSE,FALSE,1% For the Planet,Various industries,,,,,,
BCorp Certified ,Sustainability and Environmental Impact,https://res.cloudinary.com/dxm6doeqd/image/upload/v1675104042/logos-certifications/e5otopsrz4urqoqw3gik.png,https://www.bcorporation.net/en-us/certification/,"A B Corp is a for-profit company that meets certain standards of social and environmental performance, accountability, and transparency as verified by a third-party certification organization called B Lab.",TRUE,FALSE,FALSE, B Lab,ANY,,,NO,NO,YES,
Better Cotton Initiative (BCI),Sustainability and Environmental Impact,, https://bettercotton.org/,"If you see the BCI logo on a product, it means the cotton used comes from a committed BCI Member who pays into the program and who is sourcing at least 5% of their cotton as Better Cotton to start, with a plan to be sourcing at least 50% of their cotton as Better Cotton within five years. It’s a halfway step to organic that is especially useful for farmers who can’t afford to go organic, which can take significant investment and three years to do. ",FALSE,TRUE,TRUE,BCI,Apparel and textiles,,,YES,NO,NO,"BCI is a non-profit organization that’s encouraging a more sustainable way to source cotton through a defined set of standards. 

What gets certified? Anything made of cotton."
Bluesign Certified,Sustainability and Environmental Impact,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285552/Bluesign.jpg,https://www.bluesign.com/en,"1.bluesign: Certifies environmentally friendly and sustainable textile production processes
2.Products are responsibly manufactured using safer chemicals and fewer resources, including less energy, in production.
3This is a certification program that verifies that a company's products have been manufactured using sustainable and environmentally friendly processes.",FALSE,FALSE,TRUE,,"Textiles, chemical manufacturing, clothing, and outdoor gear",,,NO,YES,NO,
Canopy,Sustainability and Environmental Impact,, https://canopyplanet.org/,Canopy: certifies that companies meet certain environmental standards related to paper products,FALSE,FALSE,TRUE,Canopy,Paper and packaging,,,,,,
Climate Beneficial,Sustainability and Environmental Impact,,,certifies that products or practices help mitigate climate change,FALSE,FALSE,TRUE,Fibershed,"Agriculture, forestry and wood products",,,,,,
Climate Neutral,Sustainability and Environmental Impact,,,Climate Neutral is a certification program that helps businesses measure and offset their carbon emissions.,FALSE,TRUE,FALSE, Climate Neutral,Various industries,,,NO,NO,YES,
Cradle to Cradle Certified™,Sustainability and Environmental Impact,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285548/CradletoCradleCertified.jpg,https://www.c2ccertified.org/,"1.Cradle to Cradle (C2C): Certifies products that meet specific environmental and social standards throughout the entire production process
2. Products are made with safer materials and responsible processes to positively impact people and our planet. Includes Bronze, Silver, Gold, and Platinum levels.",FALSE,TRUE,TRUE, Cradle to Cradle Products Innovation Institute,Various industries,,,NO,NO,YES,"The Cradle to Cradle Certified™ Product Standard focuses on the circularity of products. It looks at a product through five categories: material health, material reutilization, renewable energy and carbon management, water stewardship, and social fairness. A product receives an achievement level (Basic, Bronze, Silver, Gold, or Platinum) in each category. Its overall product label is whichever category has the lowest level (for example, if a product has a platinum in the water stewardship category but a silver in social fairness, then the overall product level is silver).

Since it’s focused primarily on circularity rather than just the ethics of production on the front end, the Cradle to Cradle process and certification could have the potential to transform the way we think about and manufacture consumer goods. Ideally, we will get to a point where everything we make, buy, and own is circular.

What gets certified? Pretty much anything can be C2C certified! Apparel, home goods, toys, furniture, cleaning supplies, building materials, and more. Check out C2C’s product registry here. C2C also has a Fashion Positive Materials Collection, which is a digital resource for C2C Certified materials used in textiles like yarn, fabrics, dyes, etc."
Ethical Trading Initiative (ETI),Sustainability and Environmental Impact,https://www.ethicaltrade.org/themes/custom/eti/dist/images/svg/logos/eti/eti-logo.svg,https://www.ethicaltrade.org/,"Ethical Trading Initiative (ETI): Certifies companies that prioritize fair wages, safe working conditions, and workers' rights",TRUE,FALSE,FALSE,,Various industries,,,YES,NO,NO,"ETI is a network. In order to be a member, companies must adhere to ETI’s Base Code, which ensures that works have freely chosen their employment, are being paid fairly, are working in safe conditions, and more. Companies are required to submit annual reports to prove compliance. ETI also works to play a key role in lobbying governments to set and enforce fair labor laws.

Who can be a member? ETI members include global companies, international trade union bodies, specialized labor rights organizations, and charities."
Forest Stewardship Council (FSC),Sustainability and Environmental Impact,, https://us.fsc.org/en-us,Forest Stewardship Council (FSC): certifies that products come from responsibly managed forests,FALSE,TRUE,TRUE,FSC,Forestry and wood products,,,NO,NO,YES,"FSC is a global not-for-profit organization that ensures that companies using timber from an FSC-certified forest meet their standards along the entire supply chain. The FSC has three different labels: FSC 100% (completely from FSC-certified well-managed forests), FSC Recycled (everything comes from recycled material), and FSC Mix (the product is from FSC-certified forests, recycled material, or controlled wood)."
FSC Certified Wood,Sustainability and Environmental Impact,,https://fsc.org/en/businesses/wood,This is a certification program that verifies that a company's wood products have been sourced from responsibly managed forests.,FALSE,TRUE,TRUE,FSC,"Forestry, woodworking",,,,,,
Global Organic Textile Standard (GOTS),Sustainability and Environmental Impact,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285568/GlobalOrganicTextileStandard.jpg,https://www.global-standard.org/," Certifies each step of the organic textile supply chain against strict ecological and social standards.
2.Very simply GOTS certification means that textiles are composed of a minimum of 70% organic fibers.",FALSE,TRUE,TRUE,GOTS,Textiles,,,NO,NO,YES,
Higg Index,Sustainability and Environmental Impact,,,The Higg Index: Provides a sustainability assessment for products and companies based on environmental and social criteria,FALSE,TRUE,TRUE,Sustainable Apparel Coalition,Various industries,,,NO,YES,NO,
Leather Working Group (LWG),Sustainability and Environmental Impact,https://res.cloudinary.com/dwmpianpg/image/upload/v1707284585/leather-working-group.jpg,https://www.leatherworkinggroup.com/,Leather Working Group certification promotes more-responsible leather production and is committed to driving positive environmental change.,FALSE,TRUE,TRUE,,Leather and fur products,,,NO,NO,YES,"LWG approves and/or rates (Gold, Silver, or Bronze) leather tanneries and leather traders based on how their production processes affect the environment. Audits can be done by several third parties using the same set of standards. They take into account things like waste management, energy consumption, water usage, traceability, restricted substances, and more.

What gets certified? LWG has several different categories: Approved Traders, Rated Leather Manufacturers, and Members (which are the brands using LWG approved traders and manufacturers). Here is a full list."
OEKO-TEX 100,Sustainability and Environmental Impact,, https://www.oeko-tex.com/,OEKO-TEX 100: certifies that textile products meet certain environmental and social standards,FALSE,TRUE,FALSE, OEKO-TEX,Textiles,,,,,,
OEKO-TEX DETOX TO ZERO ,Sustainability and Environmental Impact,,https://www.oeko-tex.com/,which considers water waste and sludge,FALSE,FALSE,TRUE, OEKO-TEX,Textiles,,,,,,
OEKO-TEX ECO PASSPORT ,Sustainability and Environmental Impact,, https://www.oeko-tex.com/,"which also looks at substances, but incorporates more environmental factors)",FALSE,FALSE,TRUE,OEKO-TEX,Textiles,,,,,,
OEKO-TEX LEATHER STANDARD ,Sustainability and Environmental Impact,, https://www.oeko-tex.com/,This certification tests for toxic substances in leather,FALSE,TRUE,TRUE,OEKO-TEX," Textiles, leather and fur products",,,,,,
