Name,Logo,Website,Description,CertifiesCompany,CertifiesProduct
"EU Organic",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285553/EUOrganic.jpg,https://ec.europa.eu/info/food-farming-fisheries/farming/organic-farming/organic-logo_en,"Products have zero or minimal chemical pesticides or fertilizers, support animal welfare and non-genetically modified standards.",FALSE,TRUE
"EWG Verified",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285553/EWGVerified.jpg,https://www.ewg.org/ewgverified/,"Products are reviewed to ensure they are free from EWG’s known chemicals of concern and adhere to strict health standards.",FALSE,TRUE
"Fair for Life",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285559/FairforLife.jpg,https://www.fairforlife.org/,"Certifies for fair trade and more socially and environmentally responsible supply chains.",TRUE,TRUE
"Fair Rubber",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285560/FairRubber.jpg,https://fairrubber.org/,"Products contain natural rubber that is certified as fairly traded according to social and environmental criteria.",FALSE,TRUE
"Fair Trade Certified",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285558/FairTradeCertified.jpg,https://www.fairtradecertified.org/,"Products are made according to standards that promote safety, sustainability, and empowerment in the workplace.",TRUE,TRUE
"Fairtrade International",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285560/FairtradeInternational.jpg,https://www.fairtradeamerica.org/why-fairtrade/,"Products are produced in line with ethical and environmental standards, including supporting farmers to tackle climate change challenges.",FALSE,TRUE
"Global Organic Textile Standard",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285568/GlobalOrganicTextileStandard.jpg,https://www.global-standard.org/, Certifies each step of the organic textile supply chain against strict ecological and social standards.",FALSE,TRUE
"Global Recycled Standard",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285564/GlobalRecycledStandard.jpg,https://textileexchange.org/standards/recycled-claim-standard-global-recycled-standard/,"Products are made with at least 50% recycled content and meet social, environmental, and chemical requirements.",FALSE,TRUE
"Green Seal Logo",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285569/GreenSealLogo.jpg,https://greenseal.org/,"Green Seal certified products have reduced climate and environmental impacts at one or more stages of their lifecycle.",FALSE,TRUE
"GreenCircle Certified: Certified Energy Savings",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285558/GreenCircleCertified:CertifiedEnergySavings.jpg,https://www.greencirclecertified.com/certified-energy-savings-amazon-cpf,Verifies product energy savings of over 10% in the use-phase compared to similar products.",FALSE,TRUE
"GreenCircle Certified: Certified Environmental Facts Label",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285546/GreenCircleCertified:CertifiedEnvironmentalFactsLabel.jpg,https://www.greencirclecertified.com/certified-environmental-facts-amazon-cpf,Verifies product carbon footprint reduction in the raw material or manufacturing stage.",FALSE,TRUE
"GreenCircle LCA Optimized",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285568/GreenCircleLCAOptimized.jpg,https://www.greencirclecertified.com/lca-optimized-amazon-cpf, "GreenCircle Certified: Life Cycle Assessment Optimized verifies reductions in product life cycle impacts through product or manufacturing improvements.",FALSE,TRUE
"GreenCircle Recycled Content",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285561/GreenCircleRecycledContent.jpg,https://www.greencirclecertified.com/recycled-content-amazon-cpf,GreenCircle Certified: Recycled Content verifies a product is made of at least 50% recycled material.",FALSE,TRUE
"ISCC PLUS",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285548/ISCCPLUS.jpg,https://www.iscc-system.org/certification/iscc-certification-schemes/iscc-plus/," ISCC PLUS certified products are created using raw materials like recycled plastics and bio-based materials, which can reduce fossil fuel consumption.",FALSE,TRUE
"Leather Working Group",https://res.cloudinary.com/dwmpianpg/image/upload/v1707284585/leather-working-group.jpg,https://www.leatherworkinggroup.com/,"Leather Working Group certification promotes more-responsible leather production and is committed to driving positive environmental change.",TRUE,TRUE
"Made Safe",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285549/MadeSafe.jpg,https://www.madesafe.org/,"MADE SAFE certifies products made without known toxic chemicals, by prohibiting substances that harm human health or the environment.",FALSE,TRUE
"Natrue",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285569/Natrue.jpg,https://www.natrue.org/,"Natrue certified cosmetics are made from naturally sourced ingredients.",FALSE,TRUE
"Nordic Swan Ecolabel",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285570/NordicSwanEcolabel.jpg,https://www.nordic-ecolabel.org/,"Nordic Swan Ecolabel certified products meet requirements on chemical usage, resource consumption, greenhouse gas emissions, and biodiversity.",FALSE,TRUE
"OEKO-TEX MADE IN GREEN",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285549/OEKOTEXMADEINGREEN.jpg,https://www.oeko-tex.com/en/our-standards/made-in-green-by-oeko-tex,"OEKO-TEX MADE IN GREEN products are tested for harmful substances and made in safer workplaces with reduced environmental impacts.",FALSE,TRUE
"OEKO-TEX STANDARD 100",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285550/OEKOTEXSTANDARD100.jpg,https://www.oeko-tex.com/en/our-standards/standard-100-by-oeko-tex,"OEKO-TEX STANDARD 100 requires textiles-based products to be tested against a list of 1,000+ chemicals, to avoid those which may be harmful to human health. Certification focus: #ProductSafety and #ChemicalsUsed.",FALSE,TRUE
"Organic Blended Content Standard logo",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285554/OrganicBlendedContentStandardlogo.jpg,https://textileexchange.org/standards/organic-content-standard/,"Organic Content Standard Blended products included in the program are made with at least 50% organically grown materials.",FALSE,TRUE
"Organic Content Standard 100",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285554/OrganicContentStandard100.jpg,https://textileexchange.org/standards/organic-content-standard/,"Organic Content Standard 100 products are made with at least 95% organically grown materials.",FALSE,TRUE
"Plant-Based Fiber Blended",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285555/Plant-BasedFiberBlended.jpg,https://www.amazon.com/b/?node=96704931011,"Plant-Based Fiber Blended (Amazon developed) products are made with at least 50% plant-based content and produced in a way that restricts the use of harmful chemicals.",FALSE,TRUE
"Pre-owned Certified", "https://res.cloudinary.com/dwmpianpg/image/upload/v1707285564/Pre-ownedCertifiedlogo.png","https://www.amazon.com/s/browse/?node=23911980011","Pre-owned Certified: Electronics (Amazon-developed Certification) products are inspected, cleaned, and (if applicable) repaired to excellent functional standards. Buying Pre-owned extends a product's life, reducing e-waste and raw material extraction.", FALSE, TRUE
"Preowned Certified Fashion",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285565/PreownedCertifiedFashionLogo.png,https://www.amazon.com/b?node=109618761011," Pre-owned Certified: Fashion (Amazon-developed Certification) products have been previously owned. Buying pre-owned instead of new can reduce greenhouse gas emissions, the use of fossil fuels and water, and waste to landfill.",FALSE,TRUE
"Rainforest Alliance logo",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285560/RainforestAlliancelogo.jpg,https://www.rainforest-alliance.org/faqs/what-does-rainforest-alliance-certified-mean,"Rainforest Alliance’s seal stands for more-sustainable farming methods that help improve farmer livelihoods & mitigate climate change.",TRUE,TRUE
"Recycled Claim Standard",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285562/RecycledClaimStandard.jpg,https://textileexchange.org/standards/recycled-claim-standard-global-recycled-standard/,"Recycled Claim Standard Blended products included in the program use materials made from at least 50% recycled content.",FALSE,TRUE
"Recycled Claim Standard 100",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285562/RecycledClaimStandard100.jpg,https://textileexchange.org/standards/recycled-claim-standard-global-recycled-standard/,"Recycled Claim Standard 100 products use materials made from at least 95% recycled content.",FALSE,TRUE
"Recycled Content Certification for Electrical and Electronic Equipment",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285563/RecycledContentCertificationforElectricalandElectronicEquipmentLogo.jpg,https://www.scsglobalservices.com/services/recycled-content-certification-for-electrical-and-electronic-equipment,"Recycled Content Certification for Electrical and Electronic Equipment products have at least 10-50% recycled content, based on product type and environmental impact.",FALSE,TRUE
Regenerative Organic Certified,https://res.cloudinary.com/dwmpianpg/image/upload/v1707285570/RegenerativeOrganicCertifiedlogo.jpg,https://www.regenorganic.org/,"Regenerative Organic Certified products meet standards for soil health and land management, animal welfare, and social fairness.",FALSE,TRUE
"Responsible Wool Standard",https://res.cloudinary.com/dwmpianpg/image/upload/v1707284629/ResponsibleWoolStandard.jpg,https://textileexchange.org/standards/responsible-wool/,Responsible Wool Standard wool is from farms that support animal welfare and responsible land management practices.,FALSE,TRUE
"Soil Association",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285555/SoilAssociation.jpg,https://www.soilassociation.org/certification/," Soil Association certifies organic products and is a Certification Body for the COSMOS-standard, which ensures products are genuine organic or natural cosmetics.",TRUE,TRUE
"TCO Certified",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285551/TCOCertified.jpg,https://tcocertified.com/tco-certified/,"TCO Certified identifies IT products that are independently assessed for lower environmental and social impact, safer chemicals, and circular design.",FALSE,TRUE
"The Forest Stewardship Council",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285567/TheForestStewardshipCouncil.jpg,https://fsc.org/en/page/about-us,"Certified products support responsible forestry, helping keep forests healthy for future generations.",FALSE,TRUE
"U.S. EPA Design for the Environment",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285552/USEPADesignfortheEnvironment.jpg,https://www.epa.gov/pesticide-labels/learn-about-design-environment-dfe-certification,"Certifies disinfectants that meet the Environmental Protection Agency's strict standards for human and environmental health.",FALSE,TRUE
"US Cotton Trust Protocol",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285571/USCottonTrustProtocol.png,https://trustuscotton.org/,"U.S. Cotton Trust Protocol promotes farmers’ use of environmentally and socially responsible practices in growing more sustainable cotton.",FALSE,TRUE
"USDA Organic",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285556/USDAOrganic.jpg,https://www.usda.gov/topics/organic,"USDA Organic products are grown and processed according to standards addressing soil and water quality, among other factors.",FALSE,TRUE
"WaterSense",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285572/WaterSenseLogo.jpg,https://www.epa.gov/watersense,"WaterSense, a voluntary label from the US Environmental Protection Agency (EPA), identifies products that meet criteria from the EPA for water-efficiency and performance.",FALSE,TRUE
"BCorp Certified",https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Certified_B_Corporation_B_Corp_Logo_2022_Black_RGB.svg/1200px-Certified_B_Corporation_B_Corp_Logo_2022_Black_RGB.svg.png,https://www.bcorporation.net/en-us/certification/,"description goes here",TRUE, FALSE
